All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name,num_object_tags
0,0,0,0,0,1,0,0,0,0,0,0,0.4070688048585001,43.4957958828646,0.1294253337938135,3.296374918354017,3.2264384067678002,65,6,8,0,0,0,0.05350533420422382,0.018846042331110466,0.0017396346767178893,0.0,0.002319512902290519,0.0,0.0,13,1,0,5,0,1,2,0,0,0,0,0,0,0,0,2,__MSG_appName__,
0,0,0,0,0,1,0,0,0,0,0,12,0.4168573831280935,20.842210283960092,0.11356081883536856,3.6927573333333332,3.2246370403547453,127,14,10,0,0,2,0.067008,0.006497825530826298,0.0007162957278076235,0.00010232796111537477,0.0005116398055768739,0.0,0.0,16,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,Tackker - online keylogger tool,
0,1,1,0,1,1,0,0,1,0,0,204,0.2687126519376317,117.22710112891048,0.04078070725482318,2.74558245949381,2.9249508756590106,481,61,84,0,0,0,0.00975878160360973,0.0021877757461634326,0.0002774518098045102,0.0,0.00038206478727178454,0.0,0.0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,__MSG_appName__,
0,0,0,0,0,1,0,0,0,0,0,145,0.4067726166615376,48.82203542890057,0.07999695880463778,4.201244754558628,2.9335195672258747,582,152,279,0,0,10,0.06799639234391981,0.002840950693396986,0.0007419665041174259,4.8813585797199074e-05,0.0013618990437418543,0.0,0.0,5,1,1,0,0,0,21,2,0,0,0,0,0,0,0,20,__MSG_extName__,
0,0,1,0,1,1,0,1,0,0,1,1584,0.43242363184422256,65.45475715796665,0.08084680362921716,2.9042178214663426,2.918817846842039,715,2435,619,0,0,87,0.05085881079679959,0.00033461563661209856,0.0011395651400705736,4.0715469070283326e-05,0.0002896882224655791,0.0,0.0,20,8,7,0,0,0,1,0,0,0,0,0,0,0,0,1,Cuponomia - Cupom e Cashback,
0,0,0,0,0,1,0,0,0,0,0,49,0.37811877989825915,42.042190669371195,0.09191719869109566,5.600348322961919,3.104226742877231,223,11,27,0,0,1,0.12870337755860828,0.008224230130923844,0.00040567951318458417,3.687995574405311e-05,0.000995758805089434,0.0,0.0,13,1,0,5,0,1,3,0,0,0,0,0,0,0,0,3,__MSG_appName__,
0,0,0,0,0,1,0,0,0,0,0,61,0.43091905127230307,52.93455536786473,0.10020088179604078,3.837054730207001,2.8440816699377245,419,8,68,0,0,4,0.07155805067075921,0.00700774364034721,0.0001337994012476794,6.68997006238397e-05,0.001137294910605275,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Google Meet Enhanced Experience,
0,0,0,0,0,0,0,0,0,0,1,4,0.5011475632892707,43.83976056175895,0.08487989094297868,5.306604866743917,2.9516271328471735,76,23,8,0,0,5,0.05959532935199215,0.004374352480718315,0.0013238171981121215,0.0002877863474156786,0.0004604581558650858,0.0,0.0,13,1,0,7,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_appName__,
0,0,0,0,0,1,0,0,0,0,0,12,0.40529101837880627,42.19198717948718,0.11709006357137557,3.629117101386009,3.185139792450688,110,14,12,0,0,0,0.06744515988213468,0.011752136752136752,0.0014957264957264958,0.0,0.001282051282051282,0.0,0.0,16,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,Keyboard History Recorder,
0,0,0,0,0,1,0,0,0,0,0,1,0.4035553739272579,43.441543700340524,0.12905470984879444,3.3259116877569546,3.211182085317861,66,6,8,0,0,0,0.053393133643013506,0.01872871736662883,0.00170261066969353,0.0,0.0022701475595913734,0.0,0.0,13,1,0,0,0,1,3,0,0,0,0,0,0,0,0,3,__MSG_appName__,
0,0,0,0,0,1,0,0,0,0,0,128,0.47909319095142805,50.535662245118594,0.07307108575931645,4.1399721849127955,2.8037766200680854,534,150,246,0,0,10,0.05248262549028555,0.002510035441324396,0.000705066135203482,4.7004409013565475e-05,0.0011563084617337107,0.0,0.0,2,1,1,0,0,0,8,0,0,0,0,0,0,0,0,8,__MSG_extName__,
0,0,0,0,0,1,0,0,0,0,0,1,0.4015931693473243,43.05822377247116,0.1262842491824045,3.440545303752851,3.2303021516200654,92,7,15,0,0,0,0.052405142027783534,0.024684733029246043,0.0018781862087469815,0.0,0.004024684733029246,0.0,0.0,13,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,__MSG_appName__,
0,0,1,0,1,1,0,0,0,0,1,72,0.4933704837240809,38.31430077301476,0.0654723501253025,4.56494026336239,1.9834618298042679,552,15,123,0,4,15,0.0627674884318223,0.004040758959943781,0.00010980323260716795,0.00010980323260716795,0.0009003865073787772,2.928086202857812e-05,0.0,48,0,0,5,0,2,34,0,3,0,4,0,0,0,0,33,__MSG_extension_name__,
0,0,0,0,1,1,0,0,0,0,1,78,0.4905080420399228,41.18016641033234,0.08020932087578492,5.3728506565823455,3.0020430532299263,526,13,112,0,0,4,0.09015310056173588,0.005024789598876587,0.00012418681518136052,3.821132774811093e-05,0.001069917176947106,0.0,0.0,48,0,0,9,0,2,129,0,1,0,0,0,0,0,0,129,Reader Mode,
0,0,0,0,0,0,0,0,0,0,0,0,0.4107170050018156,41.48345359542175,0.12790942848106457,3.3806191794613643,3.1060192128763435,65,8,12,0,0,0,0.05487037503146237,0.01617317740731525,0.0019905449116695696,0.0,0.002985817367504354,0.0,0.0,13,1,0,6,0,1,2,0,0,0,0,0,0,0,0,2,__MSG_appName__,
0,0,1,0,1,1,0,0,0,0,0,24,0.37896969730624214,77.07000433463372,0.08408900340398594,4.53045086581247,3.2837393606930076,100,5,20,0,0,0,0.03203238085026537,0.021673168617251843,0.001083658430862592,0.0,0.004334633723450368,0.0,0.0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,9,Castorus,
0,0,0,0,0,1,1,0,0,0,0,8,0.37703323839424246,39.69482733066548,0.1144950867199394,3.9481551746696324,3.2817506311190328,75,9,12,0,0,0,0.07902656025121026,0.011116051578479324,0.0013339261894175188,0.0,0.0017785682525566918,0.0,0.0,13,1,0,6,0,1,5,0,0,0,0,0,0,0,0,5,__MSG_appName__,
0,0,1,0,0,1,0,0,0,0,0,635,0.5199408760784392,69.4375945537065,0.07590485258319639,5.054354935540776,2.7346790442617688,7514,175,761,0,24,0,0.03590261735774754,0.004179273827534039,9.73346978730978e-05,0.0,0.0004232668861795853,1.3348758565453412e-05,0.0,90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,GraphQL Network Inspector,
0,0,0,0,0,0,0,0,0,0,0,1,0.40342825441455527,43.02636691645851,0.12849965011379183,3.343849080532657,3.211169154788762,68,6,8,0,0,0,0.05331853730712323,0.01887316125451013,0.0016652789342214821,0.0,0.0022203719122953097,0.0,0.0,13,1,0,2,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_appName__,1.0
0,0,0,0,1,0,0,0,0,0,0,1,0.40958000923056637,44.221526535480024,0.12969605063624975,3.265117811830615,3.2024581073207803,66,6,9,0,0,0,0.053660679958257816,0.01967799642218247,0.0017889087656529517,0.0,0.0026833631484794273,0.0,0.0,13,1,0,5,0,1,2,0,0,0,0,0,0,0,0,2,__MSG_appName__,
0,0,1,0,1,1,0,1,1,0,1,213,0.4740012179537577,44.217393924056736,0.08270305781016178,4.93713011379075,3.180160013786071,114,12,590,0,0,1,0.06419865995983856,0.001373775351578034,0.0001446079317450562,1.2050660978754685e-05,0.0071098899774652636,0.0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,Cyberhaven security extension V3,
0,0,0,0,0,0,0,0,0,0,0,0,0.4110061908157349,44.69549330085262,0.12949400577098646,3.2489332224993075,3.212375574690652,65,6,8,0,0,0,0.05342200055417013,0.01979293544457978,0.0018270401948842874,0.0,0.00243605359317905,0.0,0.0,13,1,0,6,0,1,2,0,0,0,0,0,0,0,0,2,__MSG_appName__,
